"date","sport","family","small","ice","guid"
"2023-03-18 21:45:00","2","0","0","0","0003be8f-0bdd-475a-ad8f-92cfe86f67bf"
"2023-12-12 21:45:00","3","5","9","0","0016356f-6a14-4482-9137-4e7af48dd2fa"
"2023-12-02 22:30:00","0","0","0","0","001e9976-96c4-45cf-ba33-3df6bd9fe30b"
"2023-04-08 08:30:00","0","75","0","0","001ecc86-0b9d-4a36-87ef-176b6201675f"
"2023-09-13 20:45:00","113","79","20","0","002ec035-ab26-4713-8cea-e17c667344cb"
"2023-10-05 13:00:00","57","71","23","0","002f2665-d7f3-483e-830c-1457881383dc"
"2023-10-03 09:00:00","36","19","20","0","0039705d-3aef-46e8-8f72-aea621ec2415"
"2023-09-13 09:30:00","41","62","25","0","003ad7f0-afe7-43a2-b23d-0df8fe740503"
"2023-12-02 14:45:00","86","106","21","159","003c8203-5781-4889-a960-4a6c7e27c84e"
"2023-11-13 05:30:00","0","0","0","0","0040b1bf-a939-44e6-a2e2-6113c7d931f5"
"2023-06-07 11:00:00","26","76","30","0","0043cf19-82e3-40cb-a196-2e909aabfa34"
"2023-06-03 12:15:00","36","124","13","0","00442f31-6c98-4a24-b072-4c929051de03"
"2023-10-10 06:00:00","0","0","0","0","00448c89-3013-43c5-a10c-08d307596a53"
"2023-10-09 14:45:00","50","150","24","0","0045e735-5c10-4387-880f-4ad824f5da2c"
"2023-04-01 09:15:00","73","138","27","0","004938a6-b695-4807-9228-d17e57ca71f1"
"2023-05-24 20:00:00","85","126","18","0","004aff77-ddc4-45ee-9243-bf7063e51cf3"
"2023-04-19 08:00:00","48","44","16","0","004c4031-6f3b-48c8-af75-4c5511a594bb"
"2023-09-28 23:15:00","0","0","0","0","005013bf-dfa1-45dd-988b-65ea39646f06"
"2023-11-15 08:45:00","39","48","18","0","0056559d-0511-4be9-b71d-eb976767153f"
"2023-11-14 09:15:00","41","34","33","0","005ac900-1165-4732-b915-2957bba24086"
"2023-03-10 13:45:00","82","90","3","0","005cc70d-8246-496e-9004-db0df7caa97a"
"2023-09-29 19:15:00","115","118","19","0","00600075-e054-43ba-8295-298414717947"
"2023-05-19 11:45:00","56","61","23","0","0061efdf-0fcb-427c-87c4-85500112fc8b"
"2023-09-19 21:15:00","47","42","12","0","0067158f-5b07-4661-880b-f1f7cc554f86"
