"date";"sport";"family";"small";"ice";"guid"
"2024-04-06 13:45:00";"62";"138";"20";"40";"00004c1e-a900-4251-b2d6-3e57fb814220"
"2024-06-21 14:00:00";"49";"0";"4";"0";"00015ab8-04cf-4e89-94cf-adfb4bbe6c45"
"2024-08-12 21:00:00";"0";"86";"0";"0";"00016682-f9e1-4d84-915c-417e3d723aac"
"2023-03-18 21:45:00";"2";"0";"0";"0";"0003be8f-0bdd-475a-ad8f-92cfe86f67bf"
"2024-07-26 17:45:00";"0";"133";"0";"46";"000580ca-01b3-4a8c-ae74-3817920cf930"
"2024-05-23 19:45:00";"82";"123";"23";"0";"0005e2e5-7ecf-470e-8ecf-b6a00c0d10d0"
"2024-06-25 15:15:00";"83";"0";"1";"0";"00073f2d-d23f-4af3-8ced-566d2e27cbed"
"2024-06-03 23:30:00";"0";"0";"0";"0";"0009fd8c-a2fc-417b-8a3b-d78fa0d56d5d"
"2024-08-15 00:15:00";"0";"0";"0";"0";"000aebde-298b-4418-9ae1-6ea10ef4a74a"
"2024-05-12 09:30:00";"49";"107";"26";"0";"000db93a-def8-4848-a225-a1638e9877b4"
"2024-04-30 07:00:00";"28";"41";"6";"0";"00114bc7-cb0f-455a-9703-e61265fbf547"
"2024-02-26 19:45:00";"111";"137";"23";"65";"0011f6ef-b121-4361-9045-f8ec3e1f5b4f"
"2024-06-10 12:15:00";"58";"50";"6";"0";"001358c7-3edc-43c9-929a-d4125f51dfd4"
"2024-06-06 22:45:00";"0";"0";"0";"0";"00144c8b-d818-4b9f-ba9c-8dccdb4af0d4"
"2024-07-08 13:00:00";"0";"130";"0";"0";"0014bd6d-1528-4aa6-ad1f-8498d23694f9"
"2023-12-12 21:45:00";"3";"5";"9";"0";"0016356f-6a14-4482-9137-4e7af48dd2fa"
"2024-08-13 09:45:00";"0";"83";"0";"0";"001736c2-6ea2-48d5-835c-a427beb08868"
"2024-05-14 00:00:00";"0";"0";"0";"0";"001aed7f-501f-47d2-a9b0-01a7de3f7430"
"2023-12-02 22:30:00";"0";"0";"0";"0";"001e9976-96c4-45cf-ba33-3df6bd9fe30b"
"2023-04-08 08:30:00";"0";"75";"0";"0";"001ecc86-0b9d-4a36-87ef-176b6201675f"
"2024-05-02 14:00:00";"0";"83";"0";"0";"001fc96b-0b5c-41b5-97db-def67b4101b0"
